Source Labware,Source Slot,Source Well,Source Aspiration Height Above Bottom (in mm),Dest Labware,Dest Slot,Dest Well,Volume (in ul)
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,A1,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,B1,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,C1,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,D1,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,E1,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,F1,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,G1,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,H1,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,A2,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,B2,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,C2,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,D2,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,E2,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,F2,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,G2,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,H2,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,A3,40
